ticker,tier,n_all,n_fit,shortest,longest,longest_fit,span,a_pp,b_pp,t_b,r2,b_sqrt_pp
PWR,2,2,2,5.407,15.118,15.118,9.711,0.421619,0.185087,,,
PYPL,2,4,4,0.783,35.784,35.784,35.001,0.509448,0.071505,1.492,0.5266,0.06297
QCOM,1,11,11,0.75,26.752,26.752,26.001,0.14343,0.222524,9.265,0.9051,0.172217
RCL,2,2,2,1.155,1.571,1.571,0.416,0.549599,-0.417447,,,
REGN,2,2,2,4.074,24.074,24.074,20.0,0.483797,0.117758,,,
RF,2,2,2,1.982,11.31,11.31,9.328,0.17807,0.372153,,,
RJF,2,2,2,19.904,24.616,24.616,4.712,-0.212945,0.331818,,,
ROK,2,2,2,4.988,34.99,34.99,30.001,0.463226,0.059345,,,
ROP,2,2,2,2.075,4.493,4.493,2.417,0.163578,0.413532,,,
ROST,2,3,3,0.657,23.658,23.658,23.001,0.36111,0.293245,5.55,0.9686,0.233526
RSG,2,4,4,1.24,6.571,6.571,5.331,0.247786,0.118771,3.547,0.8629,0.13502
RTX,1,11,11,0.57,26.527,26.527,25.957,0.325976,0.112631,11.664,0.938,0.083923
RVTY,1,4,4,2.075,24.572,24.572,22.497,0.473656,0.145075,11.124,0.9841,0.094061
SBUX,1,12,12,1.533,24.241,24.241,22.708,0.266075,0.182501,10.047,0.9099,0.127839
SCHW,2,11,11,0.534,5.539,5.539,5.005,0.343801,0.095356,4.583,0.7,0.141378
SHW,1,6,6,0.783,25.585,25.585,24.802,0.386033,0.156023,3.628,0.767,0.130966
SJM,1,4,4,1.322,18.584,18.584,17.262,0.603349,0.111014,3.72,0.8737,0.09711
SNA,2,2,2,0.537,21.533,21.533,20.997,0.268753,0.130847,,,
SO,1,9,9,0.95,24.583,24.583,23.633,0.372757,0.172337,6.34,0.8517,0.135065
SPG,2,5,5,4.455,26.552,26.552,22.097,0.326177,0.135184,2.302,0.6384,0.078077
SPGI,1,5,5,0.531,35.548,35.548,35.017,0.325529,0.119823,6.558,0.9348,0.091907
SRE,1,22,22,0.654,26.617,26.617,25.963,0.423742,0.174487,4.877,0.5432,0.122911
STE,2,2,2,4.572,24.586,24.586,20.014,0.413525,0.207945,,,
STT,2,2,2,3.433,4.537,4.537,1.103,-1.249674,1.244546,,,
STZ,1,8,8,0.72,22.259,22.259,21.539,0.474406,0.148286,20.895,0.9864,0.126346
SWK,1,7,7,1.547,24.246,24.246,22.7,0.234465,0.241278,3.504,0.7106,0.177164
SYF,2,4,4,1.01,6.459,6.459,5.448,0.472724,0.658425,2.708,0.7857,0.815002
SYK,1,5,5,1.552,19.57,19.57,18.018,0.310758,0.154624,4.066,0.8464,0.118192
SYY,1,9,9,0.903,25.322,25.322,24.419,0.385947,0.225187,8.579,0.9131,0.170901
T,1,32,32,0.531,30.549,30.549,30.018,0.523174,0.238592,6.282,0.5681,0.189586
TAP,2,2,2,15.699,19.904,19.904,4.205,3.026351,-0.68676,,,
TDY,2,2,2,1.618,4.616,4.616,2.998,0.572572,0.061148,,,
TEL,2,3,3,0.988,11.154,11.154,10.166,0.32435,0.168804,9.428,0.9889,0.173816
TFC,2,2,2,0.956,3.795,3.795,2.839,0.119026,0.290546,,,
TGT,1,12,12,2.656,26.409,26.409,23.754,0.017806,0.229176,4.658,0.6845,0.138938
TMO,1,8,8,1.257,20.988,20.988,19.732,0.160436,0.161019,7.019,0.8914,0.123017
TMUS,1,6,6,1.571,36.074,36.074,34.502,0.25537,0.286401,23.354,0.9927,0.180242
TRGP,1,7,7,0.865,26.497,26.497,25.632,0.430771,0.220021,12.775,0.9703,0.152149
TRV,2,8,8,6.571,21.563,21.563,14.993,0.10582,0.222433,3.098,0.6153,0.124075
TSN,1,5,5,0.786,22.111,22.111,21.325,0.623659,0.107597,8.855,0.9631,0.090891
TTWO,2,2,2,0.652,5.654,5.654,5.002,0.462239,0.121261,,,
TXN,1,7,7,1.207,26.574,26.574,25.366,0.125673,0.181874,9.499,0.9475,0.134571
TXT,2,2,2,0.57,1.533,1.533,0.964,0.626989,-0.113697,,,
UDR,2,4,4,0.865,6.828,6.828,5.963,0.395262,0.234394,3.795,0.8781,0.290497
UHS,2,2,2,4.159,5.41,5.41,1.251,0.613299,0.306057,,,
UNH,1,41,41,0.654,36.493,36.493,35.839,0.215047,0.194687,19.871,0.9101,0.139233
UNP,1,35,35,0.654,45.492,45.492,44.838,0.11798,0.186044,11.397,0.7974,0.108528
UPS,1,12,12,1.24,26.541,26.541,25.3,0.091575,0.213081,6.887,0.8259,0.158242
URI,2,5,5,1.24,4.493,4.493,3.253,0.618075,0.287154,1.434,0.4066,0.361511
